"name","asset","asset_tag","assigned","assigned_to","assignment_group","checked_in","checked_out","company","cost","location"
"S0RS00050239E6D754 - UCS-MR-1X162RU-A - L0117982L - CI000001394177","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DD75 - UCS-MR-1X162RU-A - L0117982L - CI000001394085","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"2W440065A0351 - UCS-CPU-E52660D - L0117982L - CI000001394151","Cisco UCS-CPU-E52660D","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S04900050339E9266A - UCS-MR-1X162RU-A - L0117982L - CI000001394190","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N1K-VLCPU-96-ESSTL - L0117982L - CI000001394692","Cisco N1K-VLCPU-96-ESSTL","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"LIT1842154J - UCSC-PSU1-770W - L0117982L - CI000001394559","Cisco UCSC-PSU1-770W","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"ART1846115E - UCS-PSU-6248UP-AC - L0117982L - CI000001394303","Cisco UCS-PSU-6248UP-AC","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FCH1849V195 - UCSC-C220-M4S - L0117982L - CI000001394561","Cisco UCSC-C220-M4S","","","","","","","Deloitte Ltd","233.35","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E095 - UCS-MR-1X162RU-A - L0117982L - CI000001394168","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"JUR18390ULU - SFP-10G-SR - L0117982L - CI000001394290","Cisco SFP-10G-SR","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DAF2 - UCS-MR-1X162RU-A - L0117982L - CI000001394158","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"2W442003A2270 - UCS-CPU-E52660D - L0117982L - CI000001394547","Cisco UCS-CPU-E52660D","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"LSV183802QY - UCSC-MRAID12G - L0117982L - CI000001394574","Cisco UCSC-MRAID12G","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0K3MCJM - A03-D300GA2 - L0117982L - CI000001394544","Cisco A03-D300GA2","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"AVD1850BJZF - DS-SFP-FC8G-SW - L0117982L - CI000001394278","Cisco DS-SFP-FC8G-SW","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"SFP-H10GB-CU1-5M - L0117982L - CI000001394695","Cisco SFP-H10GB-CU1-5M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N3K-BAS1K9 - L0117982L - CI000001394730","Cisco N3K-BAS1K9","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S05Y00050339E89FC4 - UCS-MR-1X162RU-A - L0117982L - CI000001394209","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RS00050239E6D750 - UCS-MR-1X162RU-A - L0117982L - CI000001394176","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DCDB - UCS-MR-1X162RU-A - L0117982L - CI000001394073","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOC1904R0DD - N5K-C5672UP - L0117982L - CI000001394653","Cisco N5K-C5672UP","","","","","","","Deloitte Ltd","898.52","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DCE9 - UCS-MR-1X162RU-A - L0117982L - CI000001394074","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DFDB - UCS-MR-1X162RU-A - L0117982L - CI000001394093","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"2W440065A0227 - UCS-CPU-E52660D - L0117982L - CI000001394048","Cisco UCS-CPU-E52660D","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"2L440038A0019 - UCS-CPU-E52660D - L0117982L - CI000001394145","Cisco UCS-CPU-E52660D","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RS00050239E6D9C7 - UCS-MR-1X162RU-A - L0117982L - CI000001394183","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"DTM185105EX - UCSB-PSU-2500ACDV - L0117982L - CI000001394130","Cisco UCSB-PSU-2500ACDV","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"MOC1852A0FN - SFP-H10GB-CU3M - L0117982L - CI000001394683","Cisco SFP-H10GB-CU3M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DB00 - UCS-MR-1X162RU-A - L0117982L - CI000001394061","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"JUR18410U67 - SFP-10G-SR - L0117982L - CI000001394251","Cisco SFP-10G-SR","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0K3MCQY - A03-D300GA2 - L0117982L - CI000001394563","Cisco A03-D300GA2","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"UCSC-HS-C220M4 - L0117982L - CI000001394560","Cisco UCSC-HS-C220M4","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E3A4 - UCS-MR-1X162RU-A - L0117982L - CI000001394172","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"JUR1837G7X4 - SFP-10G-SR - L0117982L - CI000001394284","Cisco SFP-10G-SR","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOX1850XLA1 - N20-FAN5 - L0117982L - CI000001394143","Cisco N20-FAN5","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"DTM185105GD - UCSB-PSU-2500ACDV - L0117982L - CI000001394230","Cisco UCSB-PSU-2500ACDV","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DDCD - UCS-MR-1X162RU-A - L0117982L - CI000001394087","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"JUR18410RK2 - SFP-10G-SR - L0117982L - CI000001394250","Cisco SFP-10G-SR","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S04900050339E926D5 - UCS-MR-1X162RU-A - L0117982L - CI000001394192","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E016 - UCS-MR-1X162RU-A - L0117982L - CI000001394095","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FCH1848V1UJ - UCSC-C220-M4S - L0117982L - CI000001394543","Cisco UCSC-C220-M4S","","","","","","","Deloitte Ltd","233.35","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"5511J426931 - DCNM-LAN-N5K-K9 - L0117982L - CI000001394661","Cisco DCNM-LAN-N5K-K9","","","","","","","Deloitte Ltd","61.91","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E118 - UCS-MR-1X162RU-A - L0117982L - CI000001394110","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N5672-72P-SSK9 - L0117982L - CI000001394663","Cisco N5672-72P-SSK9","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FCH19027989 - UCSB-B200-M4 - L0117982L - CI000001394221","Cisco UCSB-B200-M4","","","","","","","Deloitte Ltd","177.94","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"UCS-LIC-10GE - L0117982L - CI000001394305","Cisco UCS-LIC-10GE","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"2W440065A0336 - UCS-CPU-E52660D - L0117982L - CI000001394050","Cisco UCS-CPU-E52660D","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RS00050239E6DA9E - UCS-MR-1X162RU-A - L0117982L - CI000001394184","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RS00050239E6E22C - UCS-MR-1X162RU-A - L0117982L - CI000001394187","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"TED1815B2B1 - SFP-H10GB-CU3M - L0117982L - CI000001394295","Cisco SFP-H10GB-CU3M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"2L440038A0036 - UCS-CPU-E52660D - L0117982L - CI000001394045","Cisco UCS-CPU-E52660D","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"MOC174006PH - SFP-H10GB-CU1M - L0117982L - CI000001394682","Cisco SFP-H10GB-CU1M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DB03 - UCS-MR-1X162RU-A - L0117982L - CI000001394163","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOX1848P8ZU - N3K-C3064-FAN - L0117982L - CI000001394621","Cisco N3K-C3064-FAN","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E15E - UCS-MR-1X162RU-A - L0117982L - CI000001394555","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"TED1815B736 - SFP-H10GB-CU3M - L0117982L - CI000001394297","Cisco SFP-H10GB-CU3M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0K3MDC9 - A03-D300GA2 - L0117982L - CI000001394545","Cisco A03-D300GA2","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S06W00050339E9A124 - UCS-MR-1X162RU-A - L0117982L - CI000001394566","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N3KUK9-602U2.3 - L0117982L - CI000001394729","Cisco N3KUK9-602U2.3","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"SFP-H10GB-CU1-5M - L0117982L - CI000001394694","Cisco SFP-H10GB-CU1-5M","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOX1850XL9H - N20-FAN5 - L0117982L - CI000001394040","Cisco N20-FAN5","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOX1850XKTH - N20-FAN5 - L0117982L - CI000001394038","Cisco N20-FAN5","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"DTM1851057V - UCSB-PSU-2500ACDV - L0117982L - CI000001394227","Cisco UCSB-PSU-2500ACDV","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DFD4 - UCS-MR-1X162RU-A - L0117982L - CI000001394552","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"2W440065A0332 - UCS-CPU-E52660D - L0117982L - CI000001394150","Cisco UCS-CPU-E52660D","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RS00050239E6F06B - UCS-MR-1X162RU-A - L0117982L - CI000001394196","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S04900050339E9270F - UCS-MR-1X162RU-A - L0117982L - CI000001394194","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FCH190179RS - UCS-IOM-2204XP - L0117982L - CI000001394054","Cisco UCS-IOM-2204XP","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"UCS-LIC-10GE - L0117982L - CI000001394269","Cisco UCS-LIC-10GE","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"2W440065A0432 - UCS-CPU-E52660D - L0117982L - CI000001394565","Cisco UCS-CPU-E52660D","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"JUR18390UM1 - SFP-10G-SR - L0117982L - CI000001394291","Cisco SFP-10G-SR","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"FOX1850G2G5 - UCSB-5108-AC2-UPG - L0117982L - CI000001394035","Cisco UCSB-5108-AC2-UPG","","","","","","","Deloitte Ltd","114.1","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DCD3 - UCS-MR-1X162RU-A - L0117982L - CI000001394071","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"AVD1850BJUS - DS-SFP-FC8G-SW - L0117982L - CI000001394243","Cisco DS-SFP-FC8G-SW","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N56-LAN1K9 - L0117982L - CI000001394688","Cisco N56-LAN1K9","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6E18A - UCS-MR-1X162RU-A - L0117982L - CI000001394115","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"N10-MGT012 - L0117982L - CI000001394270","Cisco N10-MGT012","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"ART1846116M - UCS-PSU-6248UP-AC - L0117982L - CI000001394268","Cisco UCS-PSU-6248UP-AC","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RS00050239E6D6C2 - UCS-MR-1X162RU-A - L0117982L - CI000001394173","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"S0RL00050239E6DCBB - UCS-MR-1X162RU-A - L0117982L - CI000001394550","Cisco UCS-MR-1X162RU-A","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"2W440065A0181 - UCS-CPU-E52660D - L0117982L - CI000001394564","Cisco UCS-CPU-E52660D","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
"2W440065A0431 - UCS-CPU-E52660D - L0117982L - CI000001394052","Cisco UCS-CPU-E52660D","","","","","","","Deloitte Ltd","0","Global Switch London 2 Building, 3 Nutmeg Lane, London, London, E14 2AX, United Kingdom"
